Hour,Price,Volume,operation,SpotForecast,yhat_lower,yhat_upper,on_range,distance,weight,distance_weighted,Price_Diff,block,Block_price_x,Block_price_y,Block_price
19,88.0,57.50379015729607,sell,80.3654901960784,72.32894117647056,88.40203921568624,1,7.634509803921603,0.0883184570787235,1.0115683206056474,3.5999999999999943,9,88.0,88.0,
4,13.1,24.42946923434231,buy,22.7003921568627,20.43035294117643,24.970431372548973,0,9.600392156862702,1.0,0.10416241166619057,,1,,,13.1
0,13.1,47.8336726680869,buy,29.4619607843137,26.51576470588233,32.408156862745074,0,15.2619607843137,1.0,0.06552238038953709,1.0999999999999996,1,,,13.1
3,17.1,3.7733696453326644,buy,20.4539215686275,18.40852941176475,22.499313725490254,0,3.3539215686274986,1.0,0.29815843320666047,2.900000000000002,2,,,17.1
5,25.6,223.42303312302195,buy,31.4186274509804,28.27676470588236,34.56049019607844,0,5.818627450980397,0.28698439579569945,0.049321665326303825,8.5,3,,,25.6
1,33.3,56.41271341380788,buy,24.5243137254902,22.07188235294118,26.97674509803922,0,8.775686274509798,0.6979908275572121,0.07953689383639699,7.699999999999996,4,,,33.3
23,46.0,443.9986881264937,buy,46.7201960784314,42.04817647058826,51.39221568627455,1,0.7201960784313997,0.18891940208954985,1.2623166214692807,12.700000000000003,5,,,46.0
6,55.1,9.977870583709418,buy,51.0172549019608,45.915529411764716,56.11898039215688,1,2.017254901960797,0.5957557905657874,1.2953299506109541,3.0,6,,,55.1
13,55.1,249.1243178731551,buy,53.3956862745098,48.05611764705882,58.735254901960786,1,3.295686274509798,0.09441259278840235,1.0286473240850103,1.1000000000000014,6,,,55.1
12,55.1,129.08543595860604,buy,55.5664705882353,50.00982352941177,61.123117647058834,1,5.066470588235298,0.28462353039836574,1.0561778708553606,0.3999999999999986,6,,,55.1
14,55.1,75.75998415442558,buy,56.2929411764706,50.66364705882354,61.92223529411766,1,4.092941176470596,0.44122388777669286,1.1078011798247163,1.7000000000000028,6,,,55.1
22,55.1,318.92274269699067,buy,55.3901960784314,49.851176470588264,60.929215686274546,1,0.29019607843139994,0.030240844534318235,1.1042083156250058,2.8999999999999986,6,,,55.1
11,58.5,174.65571231845064,buy,60.4172549019608,54.375529411764724,66.45898039215689,1,1.9172549019608027,0.40135657520721846,1.2093391832232352,3.3999999999999986,7,,,58.5
9,58.5,133.2369446791977,buy,71.6856862745098,64.51711764705883,78.85425490196079,0,10.285686274509807,0.46433493306652984,0.04514379698875844,2.8999999999999986,7,,,58.5
16,58.5,79.7543391340297,buy,68.1290196078431,61.316117647058796,74.94192156862742,1,6.529019607843104,0.6102148533949706,1.0934619422281928,0.20000000000000284,7,,,58.5
8,66.5,32.73691139607461,buy,74.4666666666667,67.02000000000002,81.91333333333337,0,9.266666666666694,1.0,0.10791366906474788,3.6000000000000014,8,,,66.5
21,66.5,221.31863859616053,buy,61.0337254901961,54.93035294117649,67.13709803921572,1,4.2662745098039,0.42543847409474966,1.0997213079273478,0.09999999999999432,8,,,66.5
7,66.5,200.494659793521,buy,64.3635294117647,57.927176470588236,70.79988235294118,1,2.136470588235298,0.32397584358999537,1.1516406756891495,1.2000000000000028,8,,,66.5
17,76.7,305.3127893159717,buy,77.9017647058823,70.11158823529408,85.69194117647054,1,1.2017647058822973,0.18118138720904023,1.1507627793712103,10.200000000000003,9,,,76.7
19,82.5,34.97378820416143,buy,80.3654901960784,72.32894117647056,88.40203921568624,1,2.1345098039216026,1.0,1.4684916406393458,5.799999999999997,10,,,82.5
